hkrate	review
1	뻔한 내용이긴 히지만 어릴 때 둘만의 아픈 사연이나 추억있는 걸 좋아해서 괜찮았어요. 좀 아쉬운 건 남주가 고백할 때 여주가 너무 담담하달까.. 여주 반응이 좀 부족했어요.
-1	너무 진부해요.내용 빤하고....지루하진 않지만 참신하지도 않아요.
1	오랜만에 후기를 쓰네요 그동안 보아왔던 작가님 스타일인듯 아닌듯 흠 약간 비슷한 느낌이면서 좀 뮌지모를 어두움이 한번씩 있네요 뭐 일단 잘 읽긴했어요 다른것도 읽으러 갑니다 로설 한동일 안 읽다 읽으니 나름 좋네요
1	아래 글 처럼 스토리가 좀더 길었으면 .......
0	괜찮아요 쏘쏘해요....
1	스토리가 좀 더 길었으면  하는 아쉬움이 남네요
1	뭔가너무주인공들의현재감정이생략된느낌ㅠㅠ 그래도좋아하는소재예요!
1	서혜은 작품은  다 재미있어요~
1	미리보기 보고 망설였는데 재밌어요.
1	재미있어요 씬보다 이야기중심이어서 맘에들어요
0	무난하네요. 고등학교 때 이후 8년간 순정을 지키고 있다는게 비현실적이지만
1	2+1 이벤트 참여합니다!
0	진부해요.  땅콩회항했던 회사도 생각나구요. 로설 많이 읽어보신 분들은 바로 알 수 있는 그런 내용이에요.  그럼에도 불구하고 술술 잘 읽혀요.  비슷한 상처가 있는 사람들이 서로를 알아보고 보듬어 가는 과정이 좋았어요.
1	눈물 났어요. 마지막에 진짜 짠했어요.  둘이 행복하게 오래오래 살면 좋겠어요.
0	이 작가글은 대부분 평타이상인데. 이분까지 더티하고 외설로 빠지지 말아줘요.  상스런 대사 넘 깨고 분량대비 섹스신도 넘  길어.
0	참고참다 칼을 갈고 복수하는 남주 좋아요
-1	읽다가 짜증이나서 중간에 리뷰... 너무 잼없어 이ㅠㅠ 내돈ㅜ주구장창 반복대는 상황설명ㅠㅠ아오 지겹
0	작가님 책 한 권도 빠짐없이 샀는데 이건...하. 고구마고구마고구마. 일단 읽덮합니다. 다시 읽고 리뷰수정 할게요. 별은 그래도 네개. 다 읽으면 재밌을걸 아니까. 이 초반장벽을 어떻게 넘나. ㅡㅡㅡㅡㅡ9월 16일에 샀군요. 지금은 2020년 3월 12일. 읽다가 세미년 보기 싫어서 또 덮어요. 읽기 너무 힘들어요. 빡쳐서ㅡㅡ^
1	1 +1 이벤트에 참가합니다
1	1+1이벤트 참여합니다.
1	마냥 밝은 이야기보단 저는 이런게 좋더라구요. 진지하고 어쩌면 좀 어두운... 그와중에 사이다마시는 부분도 있고 ㅋㅋㅋ  보통 자기전이 봐서 1권을 이틀정도 걸쳐서 보는데 시간가는줄도 모르고 하루만에 다봤어요. 만족합니다.
1	1+1이벤트 참여합니다~!
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
0	1+1이벤트 참여합니다
0	1+1 이벤트에 참여합니다
1	1+1이벤트에 참여합니다.
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1 이벤트참여합니다~ 보고싶었던거였는데 이벤트있어 바로 구매해서 읽었어요~
0	1+1 이벤트참여합니다
1	넘나재미져유~~~~추천추천!!!!!ㅎㅎ
1	1+1이벤트에 참여합니다.
0	1+1 이벤트에  참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다.
0	재밌게 볼께요~~~
1	1+1 이벤트에 참여합니다
1	1+1 이벤트에 참여합니다. 좋아하는 작가님이라 역시 잘 읽히네요
1	1+1 이벤트 참여합니다~
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1이벤트 참여합다.
1	1+1 이벤트 참여합니다
0	1+1이벤트에 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트  참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여합니다
-1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
0	1+1 이벤트 참여 합니다
0	1+1 이벤트 참여합니다
1	1+1 이벤트에 참여합니다
1	1+1 이벤트 참여합니다
0	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여 합니다
1	1+1이벤트참여 합니다  내가좋아하는 작가님
1	1+1 이벤트참여합니다  한가위처럼 풍성한 리디의 선물,  대박!!!!!!
0	1+1이벤트 참여합니다~.
0	1+1이벤트 참여합니다
1	1+1이벤트 참여합니다
1	신파가 적절한 선으로 섞여있고 남주가 멋있어요
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	좋아하는 작기님 책이라서 무조건 구매합니다~
1	1+1 이벤트 참여합니다
1	1+1이벤트참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1이벤트 참여합니다!!
0	1+1 이벤트 참여합니다
1	1+1 이벤트에 참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트에 참여합니다
-1	1+1이벤트 참여합니다~
1	1+1 이벤트참여합니다.
1	1+1 이벤트참여합니다.
1	1+1 이벤트 참여합니다.
0	1+1이벤트 참여합니다
0	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
0	1+1이벤트 참여합니다
1	1+1이벤트에 참여합니다
1	1+1이벤트에 참여합니다
0	1+1이벤트참여합니다
1	1+1 이벤트 참여합니다
0	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
0	1+1이벤트 참여합니다.
1	1+1 이벤트 참여합니다
0	1+1 이벤트 참여합니다
1	1+1 이벤트참여합니다
1	1+1 이벤트참여합니다.
1	1+1  이벤트  참여합니다.
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다
1	1+1 이벤트참여합니다
1	1+1이벤트 참여합니다~
0	1+1 이벤트 참여합니다.
1	1+1이벤트참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여 합니다.
1	1+1 이벤트 참여합니다
1	1+1 이벤트에 참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트에 참여합니다.
1	1+1 이벤트에 참여합니다~
1	1+1이벤트 참여 합니다
1	1+1이벤트참여합니다
0	1+1이벤트 참여 합니다
1	1+1이벤트에 참여합니다.~재미있게 읽었어요
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다^_^
1	1+1이벤트 참여 합니다.
-1	1+1이벤트 신청합니다.
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
0	1+1 이벤트 참여합니다.
0	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1이벤트에 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다.
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1이벤트참여합니다
1	1+1 이벤트 참여합니다.
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다!
1	1+1  이벤트 참여합니다.
1	1+1이벤트참여합니다.
1	1+1 이벤트 찹여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~~
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다~
-1	1+1이벤트 참여합니다
1	1+1 이벤트 참여합니다~ 이 책은 장바구니에 넣고 계속 고민하던 책이었는데 이벤트 기간에 샀네요~재미있게 잘 읽었습니다!!
1	1+1 이벤트 참여합니다~
1	1+1 이벤트 참여합니다~
1	작가님 작품 중 처음 읽은 책인데 눈물 찔끔찔끔 흘리면서 봤네요. 꾸밈없이 담백한 서술도 좋았고, 씬을 위한 가벼운 글이 아닌 제대로 된 작품을 읽었다는 생각이 듭니다.  그렇다고 씬이 약한 것도 아니라 대만족입니다. 이런 글을 보고 작가님 필력이 대단하다고 하는 건가봐요.  저는 에필로그2가 왜이렇게 가슴 찡하고 감동적인지.. 하루하루가 지옥같았던 두 사람이 서로를 만나 처음으로 꿈을 꾸고, 비 오는 날 서로의 뒷모습을 보려고 뒤돌아 보던 그 장면이 계속 생각나네요. 이 두사람은 끝까지 행복할 것 같아요. 8년이나 지났는데도 손만 잡아도 선다는데 말 다했죠 뭐.   작가님 좋은 글 감사합니다. 늘 응원할게요. 그럼 이미 결제 해둔 작가님 다른 작품 마저 읽으러 갑니다.
-1	유치하다고 뻔하다고 읽었는데 남주가 당한 어린시절의 폭력에 열받아 분통하며 읽긴 처음  별 두개 반요  제목이 나쁜 이 아니네요
1	무난했습니다.  ㅎㅎㅎ
0	왜이리 끌리지 않을까요..ㅜ ㅜ
1	서로 구원하는 스토리라서 좋았어요..! 상황이 너무 찌통이라서 눈물 한바가지 흘렸어요ㅜㅜ 이 책도 작가님 필력이 좋아서 술술 읽혀요 ㅎㅎ
-1	나만 재미없었나 봄. 그 둘의 처지가 비슷한 건 알겠는데 전혀 공감이 안됨.
1	남주 여주 모두 아픔 극복하고 행복해져서 다행이네요. 8년 전 헤어질 수 밖에 없는 남주 맘에 애잔했어요
1	마지막 에필로그 ㅋㅋ 귀엽네요 ㅋㅋㅋ
1	재밌어요......
1	너무 재미있게 잘봤어요~전 작가님이 쓰신글 거의다읽었는데 대부분 제취향과맞더라구요~그와중에 몇몇글들이 너무 가슴에와닿아서 눈물날뻔했어요~특히 성당에서 기도하는내용!!!! 그 장면때문에 별점4에서5드려요^^
0	이 전에 넘 잼난 책을 읽어서인지 약간 유치했어요 ㅎㅎㅎ 홍가네가 어떻게 되었는지 좀 자세히 나올줄 알았는데.. 좋아하는 작가님이라 구매했는데 이번은 so so...
1	나쁘지않은 남자가 나쁠수밖에 없었던 현실이 가슴아프네요 내가 마음에 담은 그 여자를 지키기위한 8년의 인고의 세월이 전 그다지 억지스러움으로 다가오지 않았어요  그래서 로설은 개취인가 봅니다 읽으면서 무정이 떠오르긴 했지만,  작가님만의 섬세한 문장 한줄한줄 곱씹으며 읽었어요  재밌습니다
1	술술 읽혀요 재밌어요
-1	미리보기가 젤 재밌음....
0	글이 촘촘한 맛은 없지만.. 쑤욱 한 번에 읽기 좋네요
0	졸린 눈을 부릅부릅 떠가며 완주 사실 뒷부분은 좀 넘겼네요. 너무 잔잔해서 졸린걸수도 있어요 두남녀 주인공이 확 잡아당기는 임펙트가 부족하네요 그리고 홍가년넘들 제대로 굴렀어야하는거 아닌가ㅡㅡ 푸른산호초에서 여주 괴롭히던 인간들  나자빠질때의 그 느낌을 받았어야 하는데 좀 아쉽
1	저랑 작가님 글은 잘 맞는 거 같아요 글이 싫을 때, 무기력 할 때 눈에 잘 들어와요 가볍게 휘릭 읽다가도 군데군데 섬세한 표현을 발견하면 혼자 감탄하네요.
0	잘 읽었습니다 ~~
1	조금 미흡하면 어떻습니까 서혜은님인걸요^^
0	아주나쁜작품은아닌데 흠...뭐랄까 플롯은 좋은데 그걸 풀어내는방법이 크게 흥미진진하지 못한거같아요  끝을 다보여주고 시작하는 느낌?
1	재밌네요. 볼만해요
1	짧은데 재밌네요~~ 남주 여주 둘다 아픔이 있고 그걸 헤쳐나가는 부분이 짧아서 아쉽지만 해피엔딩이니~~괜찮아요~~^^
1	가볍게 읽기 괜찮아요
0	이화현 님의 ''무정''이라는 10년 전 작품이 그리워지는 글이었어요. 재벌가 개차반 망나니, 알고 보니 절치부심이라는 설정이 똑 같네요. 근데 10년 전 작품보다도 여러모로 허술하네요. 이런 설정 좋아하심 ''무정''이 오리지널이에요. 나머진 다 아류작..로설입덕 5년차 안팎이면 추천!
0	표현이나 문장이 좋았어요. 훗날 둘 사이의 로맨스적 긴장감이 좀 아쉽고요. 그런데 이상해요. 두사람은 해피엔딩이 아닌것만 같아요. 둘이라 다행이지만 둘 밖에 없기에 안스럽고 어두운 이미지가 쉬이 걷히지 않네요.
0	재탕은 노노. 결말이 뻔해서. 긴장감없이 읽었네요
0	힘들고 아픈 두 사람의 알콩달콩한  뒷얘기가 궁금합니다
1	제목과 달리 나쁘지 않아서 다행이에요.
1	결국 나쁜 척하며 버틴거네여 여주땜에~
0	막힘없이 읽어지기는 하나 재탕은 NO. 로맨스 부분이 약함
1	민재랑 선영이가 행복해져서 기뻐요. 둘의 슬프고도 예쁜 사랑 잘 봤어요.^^
1	잔잔한듯 하면서 매력적인 소설이에요. 민재가 넘 좋네요. 선영도 애잔하고~~ 한번씩 다시 볼 듯~~
1	재있어요 흔한내용이지만 알찬내용
1	너무너무 신나게 읽었어요 최고
1	좋네요...결혼후모습도외전으로꼭내주세요.짧아요
1	아련하게 옛추억이 새록새록 떠오르게 하네요.
1	너무재미있게잘읽었어요   재미있었어요
1	잔잔하고 커플이 예뻐요. 다만 왠지 권선징악이 후련한 느낌은 아니고 미적지근하네요...
1	재미있어요.......^^
0	재미있게 잘 읽혀요
1	서혜은님껀 다 좋아요
1	재미있게 잘 봤어요
0	조금 가볍게 봐야될것 같아요. 그러면 편하게 읽을수 있습니다.
1	재밌게 잘봤습니다.
1	전체적으로 좋은데 약간 뭔가 임팩트가 약한 느낌? 그래도 추천합니다 !
1	애잔하고 섬세한 글입니다 작가님  필력정말 좋으시네요 감탄하고갑니다
1	내용도 좋지만 작가님 필력이 흡입력있어요, 전 정말 많이 좋았아요. 추천합니다!
0	잘 봤습니다~ 나쁜 사람들이 너무 나빠 짜증났지만 해피엔딩은 늘 좋네요
1	재밌게 읽었습니다 ~~ ^^
1	역시 자극적이고 재밌네요. 잘 읽었어요~
1	순삭했어요.ㅜ 진짜 나빠요.어쩌면 사람이 이렇게 잔인하고 사악하고 나쁜건지ㅜ.민재가 진짜 멋지네요.선영도 그렇고 납작 엎드려서  기는게 작식을 지키는거로아는 아빠가 제일 이해하기 힘들고 나빴어요.좀  답답하고 짜증니지만 읽을만해요
0	쏘쏘인것 같아요. 초 중반엔 집중⍤⃝
1	두사람이  폭력에서  벗어나 행복해서  다행이에요 쏘쏘해요 재탕이 더 좋아요
1	로테기여서 몇달만에 읽었네요.무난해요 엉성한 면도 있지만요
1	음 무난해요~ㅎ 권선징악좋아요
1	괜찮았어요 시련을 겪으며 포기하지 않고 사랑을 이루는 모습이
1	예쁜 커플이네요 사랑스럽다
1	너무 좋았어요 마지막 엔딩도... 오랫만에 좋은 글 읽었네요 작가님 감사합니다
1	재밌게 봤어요 주인공들이 상처가 많았는데  극복해내면서  행복을 찾아가는 모습이  가슴이  찡하네요
0	어설퍼요 8년을 기다린다는거가 현실감도 없어요
0	서혜은님 소설 특징&gt; 다 거기서 거기인 것 같은 남주 개인적인 생각&gt; 우산을 계기로 사랑에 빠지게 됐던 여주랑 다시 만나연애하려고 팔년동안 형 몰락시키려는 목표갖고 일하는거..? 너무 그때느꼈던 사랑에 비해 과도함.. 그럴만큼 그때 서로 사랑했는지 잘 모르겠음
1	서로의 아픔을 공유하고 치유해가는 모습이 예뻐요.
0	별 3.5정도 내용이에요 좀 엉성해서 아쉽네요
0	남주가 마음 고백하는 장면이  너무 심심하네요. 재미 없진 않았는데 그 부분에서 몰입이 확 깨져버렸습니다. 어쨌든 힘들었던 과거 뒤에 남주여주 행복해져서 좋아요.
0	2프로 부족하네요..
1	한남자의 지고지순한 사랑에 행복하기도 하고 슯프기도 하네요. 외전꼭올려주세요
1	엄청 재미있게 봤어요 오랜만에 이런 대작을 읽어서 기분이 너무 좋네요 일단 작가님 이런 소설 써주셔서 너무너무 감사합니다ㅠㅠ❤️서혜은 작가님 소설은 처음 봤는데 와 정말 기대이상이였어요 글 정말 잘쓰시네요 필력이 너무 좋아요 글에 쓸데없는 말들도 없이 깔끔하고 술술 읽혀요 이 소설의 주소재가 우산,비,반창고라서 소설 분위기가 엄청 아련하고 애틋해요ㅠㅠ같이 우산을 쓰고가는 장면은 간질간질한 분위기가 너무 잘표현되서 계속 돌려봤답니다...그리고 여기 여주가 불우한 집안사정 때문에 혼자서 아파하고 슬퍼하는 부분들이 많거든요ㅠㅠ근데 그럴때마다 슬퍼하는 여주의 감정이 저한테까지 생생하게 느껴져서 눈물이 조금씩 나왔어요 로설이지만 저한테는 완전 힐링물이였어요 여주남주가 서로에게 위로해주면서 했던말들이 저한테도 위로가 됐고 너무 감동적이였어요 그런 구절들이 많아서 읽는내내 기분이 좋았고 형광펜으로 표시해두고 발췌까지 했어요ㅋㅋㅋㅋㅋ서로가 서로의 부족한 점들을 채워주고 보듬어주고 크 너무 좋았습니다 보통 로설들 보면 남주는 매력뿜뿜!!인데 여주가 매력없고 수동적이다 라는 평들이 많잖아요 근데 여기 여주는 너무 제 스타일이였어요ㅋㅋㅋㅋ제가 닮고싶은 성격입니다...빈말이 아니라 진심이에요ㅠㅠ여주랑 베프먹고 싶네요....남주는 말할것도 없어요 민재야...민재야...앓다죽을 민재야ㅜㅜ엄청 똑똑한 계략남이지만 여주한정 스윗가이...only 여주뿐...더 자세하게 설명하고 싶지만 소설에서 표현됐던 남여주 성격이 너무 매력적이여서 제 글로는 설명을 못할 것 같아요ㅠㅠㅠ작가님 필력+남여주 성격+소설 분위기 3개가 다 합쳐져서 전 며칠,몇주간 소설 재탕하면서 나쁜 앓이할듯 하네요ㅠㅠ사실 지금 이렇게 리뷰를 구구절절 길게 쓰는것만 봐도ㅋㅋㅋㅋㅋㅋㅋㅋㅋ민재랑 선영이 못잃을듯 합니다ㅜㅡㅜ정말 재미있게 읽었어요 기분이 너무 좋네요ㅎㅎ
-1	볼 만하긴 한데 뭔가 올드하고 인소 느낌
1	유쾌하면서도 무게감이 있는 남주 멋져요.
1	정말  제취향  입니다 넘  좋았어요
1	평점, 별점 보고 읽습니다. 재미 있을거 같네요.
1	재미있게 읽었어요 주인공들이 행복해져서 기쁘네요
0	읽다 말았는데 .... 잘 안읽혀지네요
1	전 잼있게 잘 읽었어요 ~^^
0	짧은데 재미는 있어요. 근데 서혜은 작가님은 독자가 매우 똑똑하다는걸 자꾸 잊으시는 듯. 과거일부터 설명처럼 다 설명해주는 부분은 재미없었어요. 짧게 넘어가도 여운있고 임팩트있을텐데. 안타깝네요 매번.
-1	사연은 슬픈데 너무 말이 안돼... 대사도 지루하며 엉성하고 뭐 이런 말도 안 되는 스토리가 4점이 넘어? 노이해노이해 별개수에 속았다 빛좋은 개살구가 이럴 때 쓰는 말인가?.........
1	지루하다는 평이 좀 있어서 걱정했었는데, 뭐가됐든 저한텐 좋네요. 너무좋았어요. 서혜은님하고 좀 많이 맞는듯 합니다. ㅎㅎㅎ 전 별5개요~순전히 제 취향입니다.
1	서혜은 작가님 작품인데 뭐라 말 하겠습니까!  기승전결 권선징악 확실해서 좋았습니다. 경험많은 절륜남인줄 알았더니, 동정남이라니요!!!!
1	재밌네요 ㅎㅎ 순정남 !!!!! 좋아요
0	전 좀 지루한 면이 없지않아 있었습니다. 로맨스가 그냥 말로 퉁친 기분이기도 하고. 좀 아쉽네요.
1	재밌어요ㅠㅠ 근데 짧아서 아쉬움 ㅜㅜ
0	그냥저냥  막 재미있는 이야기는 아니고 ᆢ 좀 지루하네요.
-1	재탕은 안할듯 용두사미  미리보기 까지가 제잉 재미남
1	아묻따 작가님. 역시 내취향ㅎㅎ
1	남주 여주를 향한 순애보네요 쓰레기 남주 아니여서 다행이네요 좀더 아이낳고 행복한 에필이였으면 하는 아쉬움이 드네요
-1	으...증말...참내
